gvkey,fyear,fic,sic,at,seq,price,shares,profit,roa,mktcap,pb,roa_w,pb_w,common_law,sic2
018957,2022,JPN,4512,2520603,816289,2695,453.286,34423,0.01365665279300231,1221605.77,1.4965358714866916,0.01365665279300231,1.4965358714866916,0,45
019002,2022,JPN,3562,1303967,632856,1971,23.549,77010,0.0590582430383591,46415.079,0.07334224373317152,0.0590582430383591,0.07334224373317152,0,35
019043,2022,JPN,3600,5582519,3239027,1313.5,109.414,213908,0.03831746922849703,143715.289,0.044369895342027094,0.03831746922849703,0.044369895342027094,0,36
019045,2022,JPN,2800,5773903,1564366,684.7,283.641,96066,0.016637965688027664,194208.99270000003,0.1241454958110826,0.016637965688027664,0.1241454958110826,0,28
019099,2022,JPN,4011,1231378,404434,2179,71.501,18850,0.015308053254159161,155800.679,0.3852314073495305,0.015308053254159161,0.3852314073495305,0,40
019112,2022,JPN,3714,7408662,4376928,6536,77.087,314633,0.04246826215043958,503840.63200000004,0.11511284444249484,0.04246826215043958,0.11511284444249484,0,37
019113,2022,JPN,3711,17598581,5134922,418.1,546.31,221900,0.012608971143753011,228412.21099999998,0.04448211891047225,0.012608971143753011,0.04448211891047225,0,37
019115,2022,JPN,3714,1233256,616213,701,55.599,18412,0.014929584773964206,38974.899,0.06324906972102179,0.014929584773964206,0.06324906972102179,0,37
019141,2022,JPN,2621,2296018,937085,531,69.313,56483,0.02460041689568636,36805.203,0.039276269495296584,0.02460041689568636,0.039276269495296584,0,26
019157,2022,JPN,3600,998160,728473,6405,26.121,73861,0.07399715476476718,167305.005,0.22966534792641594,0.07399715476476718,0.22966534792641594,0,36
019165,2022,JPN,2320,159198,74830,310,48.14,3061,0.019227628487795072,14923.4,0.1994307096084458,0.019227628487795072,0.1994307096084458,0,23
019731,2022,AUS,3510,22.61,2.199,0.18,5.101,-11.131,-0.49230429013710747,0.91818,0.4175443383356071,-0.49230429013710747,0.4175443383356071,1,35
019246,2022,MYS,100,28932.677,25830.841,17.44,9.053,2196.954,0.07593331235820315,157.88432000000003,0.006112240789992089,0.07593331235820315,0.006112240789992089,1,1
019344,2022,JPN,2844,1307661,604260,6471,61.442,34202,0.02615509677202272,397591.18200000003,0.6579803098004171,0.02615509677202272,0.6579803098004171,0,28
019413,2022,JPN,3357,4013008,1899879,1504.5,63.645,112654,0.028072209175760428,95753.90250000001,0.05040000047371439,0.028072209175760428,0.05040000047371439,0,33
019457,2022,JPN,3670,503462,318478,3830,27.441,23216,0.046112715557480005,105099.03,0.3300040505152632,0.046112715557480005,0.3300040505152632,0,36
019565,2022,GBR,1000,96744,50175,57.98,26.097,12420,0.12838005457702803,1513.10406,0.030156533333333332,0.12838005457702803,0.030156533333333332,1,10
019626,2022,HKG,4833,7045.048,3499.017,3.69,0.362,-807.132,-0.11456728186947768,1.33578,3.8175864821462716e-4,-0.11456728186947768,3.8175864821462716e-4,1,48
019646,2022,JPN,1520,2738458,684632,628,118.334,48227,0.01761100590186156,74313.75200000001,0.1085455427149184,0.01761100590186156,0.1085455427149184,0,15
019656,2022,JPN,3430,731638,453798,4500,29.04,38943,0.0532271423846219,130680,0.28796953710681844,0.0532271423846219,0.28796953710681844,0,34
019661,2022,JPN,3711,74303180,28338706,1812.5,911.397,2451318,0.03299075490443343,1651907.0625,0.05829154875667224,0.03299075490443343,0.05829154875667224,0,37
019741,2022,JPN,7380,1989062,1164426,7543,20.298,96085,0.048306689283692514,153107.81399999998,0.1314878008563876,0.048306689283692514,0.1314878008563876,0,73
019774,2022,SGP,4931,16020,3977,3.38,35.887,704,0.043945068664169785,121.29805999999999,0.03049988936384209,0.043945068664169785,0.03049988936384209,1,49
019799,2022,SGP,7011,21938.463,10638.386,6.72,25.368,491.869,0.02242039471953892,170.47295999999997,0.0160243254944876,0.02242039471953892,0.0160243254944876,1,70
019846,2022,JPN,3651,299355,98808,369,39.283,16229,0.054213225100633027,14495.427,0.14670296939519067,0.054213225100633027,0.14670296939519067,0,36
019934,2022,JPN,2050,758031,363740,1574,22.244,12368,0.016315955416071375,35012.056,0.09625572111948094,0.016315955416071375,0.09625572111948094,0,20
020145,2022,JPN,3357,934837,303549,2474,42.567,17911,0.01915948983619604,105310.758,0.3469316584801795,0.01915948983619604,0.3469316584801795,0,33
020161,2022,JPN,3241,1268862,494958,2057,36.654,-33206,-0.02616990657770506,75397.278,0.15233065835889106,-0.02616990657770506,0.15233065835889106,0,32
021443,2022,MYS,2060,343.309,235.075,0.19,6.247,3,0.008738483407076423,1.18693,0.005049154525151547,0.008738483407076423,0.005049154525151547,1,20
021455,2022,MYS,9997,1446.669,60.113,0.075,34.059,-45.926,-0.031746031746031744,2.5544249999999997,0.042493720160364644,-0.031746031746031744,0.042493720160364644,1,99
021456,2022,MYS,3241,10425.282,5775.134,2.12,7.425,83.545,0.008013692099647762,15.741,0.0027256510411706463,0.008013692099647762,0.0027256510411706463,1,32
022821,2022,CHL,4813,1856594.242,1020089.792,446,8.691,50050.388,0.026958172587071935,3876.186,0.003799847847119717,0.026958172587071935,0.003799847847119717,0,48
023155,2022,JPN,3669,77816,46176,1401,4.421,4422,0.05682635961755937,6193.821000000001,0.13413507016632017,0.05682635961755937,0.13413507016632017,0,36
