"costat","curcd","datafmt","indfmt","consol","gvkey","fyear","conm","sic","at","seq","ni","csho","prcc_f","ROA","MarketCap","PB","ROA_w","PB_w"
"A","USD","STD","INDL","C",7116,2023,"MATTEL INC",3942,6435.822,2149.213,214.352,348.5,18.88,0.0333060796274353,6579.68,3.06143690737028,0.0333060796274353,3.06143690737028
"A","USD","STD","INDL","C",7146,2023,"MCCORMICK & CO INC",2090,12862.3,5060.7,680.6,268.1,64.83,0.0529143310294426,17380.923,3.43448989270259,0.0529143310294426,3.43448989270259
"A","USD","STD","INDL","C",7161,2023,"MCGRATH RENTCORP",7359,2217.283,933.802,174.621,24.496,119.62,0.0787544936753676,2930.21152,3.13793665038199,0.0787544936753676,3.13793665038199
"A","USD","STD","INDL","C",7163,2023,"S&P GLOBAL INC",7323,60589,34200,2626,314.1,440.52,0.0433412005479542,138367.332,4.04582842105263,0.0433412005479542,4.04582842105263
"A","USD","STD","INDL","C",7179,2023,"MCRAE INDUSTRIES  -CL A",3140,95.469,86.917,8.061,2.26,43.75,0.0844357854382051,98.875,1.13757952989634,0.0844357854382051,1.13757952989634
"A","USD","STD","INDL","C",7183,2023,"SOLUNA HOLDINGS INC",7372,91.276,26.514,-29.201,2.506,4,-0.319919803672378,10.024,0.378064418797616,-0.319919803672378,0.378064418797616
"A","USD","STD","INDL","C",7185,2023,"GENCOR INDUSTRIES INC",3567,195.748,181.583,14.666,14.658,14.13,0.0749228600036782,207.11754,1.14062186438158,0.0749228600036782,1.14062186438158
"A","USD","STD","INDL","C",7228,2023,"MEDTRONIC PLC",3845,89981,50214,3676,1311.338,80.24,0.0408530689812294,105221.76112,2.09546662524396,0.0408530689812294,2.09546662524396
"A","USD","STD","INDL","C",7241,2023,"CVS HEALTH CORP",8000,249728,76461,8344,1288,78.96,0.033412352639672,101700.48,1.33009612743752,0.033412352639672,1.33009612743752
"A","USD","STD","INDL","C",7257,2023,"MERCK & CO INC",2834,106675,37581,365,2531.633,109.02,0.00342160768689946,275998.62966,7.34410020116548,0.00342160768689946,7.34410020116548
"A","USD","STD","INDL","C",7275,2023,"MESA LABORATORIES INC",3821,446.796,145.393,-254.246,5.394,109.73,-0.569042695100225,591.88362,4.07092239653904,-0.569042695100225,4.07092239653904
"A","USD","STD","INDL","C",7291,2023,"METHODE ELECTRONICS INC",3678,1403.5,766,-123.3,35.304,12.19,-0.0878517990737442,430.35576,0.561822140992167,-0.0878517990737442,0.561822140992167
"A","USD","STD","INDL","C",7295,2023,"EVI INDUSTRIES INC",5080,253.847,130.956,9.719,12.578,22,0.0382868420741628,276.716,2.11304560310333,0.0382868420741628,2.11304560310333
"A","USD","STD","INDL","C",7309,2023,"MEXCO ENERGY CORP",1311,19.059,17.628,1.345,2.091,9.9765,0.0705703342253004,20.8608615,1.18339355003404,0.0705703342253004,1.18339355003404
"A","USD","STD","INDL","C",7343,2023,"MICRON TECHNOLOGY INC",3674,64254,44120,-5833,1098,69.94,-0.0907803405235472,76794.12,1.74057388939257,-0.0907803405235472,1.74057388939257
"I","USD","STD","INDL","C",7344,2023,"MICROPAC INDUSTRIES INC",3674,55.307,35.268,0.632,2.578,10.49,0.0114271249570579,27.04322,0.766791992741295,0.0114271249570579,0.766791992741295
"A","USD","STD","INDL","C",7350,2023,"MICROWAVE FILTER CO INC",3679,2.452,2.12,-0.171,2.576,0.6,-0.0697389885807504,1.5456,0.729056603773585,-0.0697389885807504,0.729056603773585
"A","USD","STD","INDL","C",7366,2023,"ENTERGY CORP",4911,59703.396,14962.516,2374.855,212.849,101.19,0.039777553022277,21538.19031,1.43947650983297,0.039777553022277,1.43947650983297
"A","USD","STD","INDL","C",7368,2023,"MIDDLESEX WATER CO",4941,1236.052,425.075,31.524,17.821,65.62,0.0255037813943103,1169.41402,2.75107691583838,0.0255037813943103,2.75107691583838
"A","USD","STD","INDL","C",7401,2023,"MILLERKNOLL INC",2520,4043.6,1385.1,82.3,70.378,27.58,0.0203531506578297,1941.02524,1.40136108584218,0.0203531506578297,1.40136108584218
"A","USD","STD","INDL","C",7420,2023,"MSA SAFETY INC",3842,2170.15,966.802,58.583,39.317,168.83,0.0269949081860701,6637.88911,6.86582062304381,0.0269949081860701,6.86582062304381
"A","USD","STD","INDL","C",7435,2023,"3M CO",9997,50580,4807,-6995,552.581,109.32,-0.138295769078687,60408.15492,12.5667058289994,-0.138295769078687,12.5667058289994
"A","USD","STD","INDL","C",7437,2023,"ALLETE INC",4931,6656.4,2809.6,247.1,57.561,61.16,0.037122168138934,3520.43076,1.2530006976082,0.037122168138934,1.2530006976082
"A","USD","STD","INDL","C",7471,2023,"MITSUI & CO LTD",5000,111730.55,49862.702,7032.515,74.868,930.721,0.0629417379579712,69681.219828,1.39746177068383,0.0629417379579712,1.39746177068383
"A","USD","STD","INDL","C",7486,2023,"MODINE MANUFACTURING CO",3585,1851.5,747.6,161.5,52.4,95.19,0.0872265730488793,4987.956,6.67195826645265,0.0872265730488793,6.67195826645265
"A","USD","STD","INDL","C",7512,2023,"MONARCH CEMENT CO",3241,381.342,334.116,73.692,3.672,155,0.193243859842346,569.16,1.70348022842366,0.193243859842346,1.70348022842366
"A","USD","STD","INDL","C",7526,2023,"QUIDELORTHO CORP",2835,8563.1,5005.9,-10.1,66.7,73.7,-0.00117947939414464,4915.79,0.981999240895743,-0.00117947939414464,0.981999240895743
"A","USD","STD","INDL","C",7549,2023,"MOOG INC  -CL A",3728,3808.036,1636.087,170.998,31.881,112.96,0.0449045124573402,3601.27776,2.20115297047162,0.0449045124573402,2.20115297047162
"A","USD","STD","INDL","C",7585,2023,"MOTOROLA SOLUTIONS INC",3663,13336,724,1709,166.2,313.09,0.128149370125975,52035.558,71.872317679558,0.128149370125975,55.8397284803336
"A","USD","STD","INDL","C",7620,2023,"MURPHY OIL CORP",1311,9766.697,5362.794,661.559,152.749,42.66,0.0677362060070052,6516.27234,1.21508906364854,0.0677362060070052,1.21508906364854
"A","USD","STD","INDL","C",7636,2023,"MYERS INDUSTRIES INC",3089,541.631,292.8,48.867,36.848,19.55,0.0902219407677921,720.3784,2.4603087431694,0.0902219407677921,2.4603087431694
"A","USD","STD","INDL","C",7637,2023,"VIATRIS INC",2834,47685.5,20467.4,54.7,1200.755,10.83,0.00114709922303426,13004.17665,0.635360458582917,0.00114709922303426,0.635360458582917
"A","USD","STD","INDL","C",7648,2023,"NCR VOYIX CORP",7372,4990,301,-423,142.6,16.91,-0.0847695390781563,2411.366,8.01118272425249,-0.0847695390781563,8.01118272425249
"A","USD","STD","INDL","C",7658,2023,"NL INDUSTRIES",3562,576.662,369.812,-2.308,48.833,5.61,-0.00400234452764358,273.95313,0.740790266405633,-0.00400234452764358,0.740790266405633
"A","USD","STD","INDL","C",7662,2023,"BIOMERICA INC",2835,9.254,6.591,-5.978,16.822,0.5806,-0.645990922844175,9.7668532,1.48184694280079,-0.645990922844175,1.48184694280079
"A","USD","STD","INDL","C",7685,2023,"NAPCO SECURITY TECH INC",3669,166.654,140.169,27.127,36.77,34.65,0.162774370852185,1274.0805,9.08960255120604,0.162774370852185,9.08960255120604
"A","USD","STD","INDL","C",7733,2023,"NATIONAL FUEL GAS CO",4924,8280.26,2963.376,476.866,91.819,51.91,0.0575907036735561,4766.32429,1.60841023548817,0.0575907036735561,1.60841023548817
"A","USD","STD","INDL","C",7741,2023,"NATIONAL HEALTHCARE CORP",8051,1310.796,908.752,66.798,15.351,92.42,0.050959874763121,1418.73942,1.56119537563604,0.050959874763121,1.56119537563604
"A","USD","STD","INDL","C",7750,2023,"TENET HEALTHCARE CORP",8062,28312,1608,611,99.95,75.57,0.0215809550720543,7553.2215,4.69727705223881,0.0215809550720543,4.69727705223881
"A","USD","STD","INDL","C",7762,2023,"NATIONAL PRESTO INDS INC",3480,440.536,356.256,34.559,7.084,80.28,0.0784476183558211,568.70352,1.59633387227163,0.0784476183558211,1.59633387227163
"A","USD","STD","INDL","C",7770,2023,"HIGH LINER FOODS INC",2092,834.399,385.856,31.677,33.019,8.56,0.0379638518262845,282.64264,0.732508085918063,0.0379638518262845,0.732508085918063
"A","USD","STD","INDL","C",7799,2023,"NATURES SUNSHINE PRODS INC",2834,249.773,154.058,15.076,18.875,17.29,0.0603588057956625,326.34875,2.11834990717782,0.0603588057956625,2.11834990717782
"A","USD","STD","INDL","C",7841,2023,"CREDITRISKMONITOR.COM INC",7323,24.073,9.368,1.695,10.722,2.33,0.0704108337141196,24.98226,2.66676558497011,0.0704108337141196,2.66676558497011
"A","USD","STD","INDL","C",7849,2023,"NEW JERSEY RESOURCES CORP",4924,6537.496,1990.735,264.724,97.584,40.63,0.0404931796516587,3964.83792,1.99164525665144,0.0404931796516587,1.99164525665144
"A","USD","STD","INDL","C",7863,2023,"NUVERA COMMUNICATIONS INC",4813,263.895,98.006,-3.215,5.133,10.05,-0.0121828757649823,51.58665,0.526362161500316,-0.0121828757649823,0.526362161500316
"A","USD","STD","INDL","C",7866,2023,"NEW YORK TIMES CO  -CL A",2711,2714.595,1763.219,232.387,164.542,48.99,0.085606508521529,8060.91258,4.57170242607413,0.085606508521529,4.57170242607413
"A","USD","STD","INDL","C",7875,2023,"NEWELL BRANDS INC",3630,12163,3112,-388,414.3,8.68,-0.0319000246649675,3596.124,1.15556683804627,-0.0319000246649675,1.15556683804627
"A","USD","STD","INDL","C",7881,2023,"NEWMONT CORP",1040,55506,29027,-2494,1152,41.39,-0.044932079414838,47681.28,1.64265270265615,-0.044932079414838,1.64265270265615
"A","USD","STD","INDL","C",7882,2023,"NPK INTERNATIONAL INC",7359,642.336,415.364,14.516,85.197,6.64,0.0225987645095402,565.70808,1.36195741566433,0.0225987645095402,1.36195741566433
"A","USD","STD","INDL","C",7906,2023,"NIKE INC  -CL B",3021,38110,14430,5700,1503,95.05,0.149567042770926,142860.15,9.9002182952183,0.149567042770926,9.9002182952183
"A","USD","STD","INDL","C",7908,2023,"NTT INC",4813,195727.432,65084.369,8459.515,3364.193,29.733,0.0432208960877799,100027.550469,1.53689053156527,0.0432208960877799,1.53689053156527
"A","USD","STD","INDL","C",7911,2023,"NOBILITY HOMES INC",2451,65.702,52.716,10.899,3.269,28.75,0.16588536117622,93.98375,1.78283158813264,0.16588536117622,1.78283158813264
"A","USD","STD","INDL","C",7914,2023,"NOBLE ROMANS INC",5812,18.48,2.191,1.46,22.216,0.3275,0.079004329004329,7.27574,3.32073938840712,0.079004329004329,3.32073938840712
"A","USD","STD","INDL","C",7921,2023,"NORDSON CORP",3569,5251.77,2598.06,487.493,57.007,212.59,0.0928245144018112,12119.11813,4.66467984958007,0.0928245144018112,4.66467984958007
"I","USD","STD","INDL","C",7922,2023,"NORDSTROM INC",5651,8444,848,134,162.4,18.15,0.0158692562766461,2947.56,3.47589622641509,0.0158692562766461,3.47589622641509
"A","USD","STD","INDL","C",7923,2023,"NORFOLK SOUTHERN CORP",4011,41652,12781,1827,225.681,236.38,0.0438634399308557,53346.47478,4.17388895861044,0.0438634399308557,4.17388895861044
"A","USD","STD","INDL","C",7938,2023,"NACCO INDUSTRIES  -CL A",1221,539.708,382.34,-39.587,7.449,36.5,-0.0733489220096793,271.8885,0.711117068577706,-0.0733489220096793,0.711117068577706
"A","USD","STD","INDL","C",7951,2023,"MOVADO GROUP INC",3873,769.082,516.798,46.711,22.159,27.58,0.0607360463513643,611.14522,1.18256111672259,0.0607360463513643,1.18256111672259
"A","USD","STD","INDL","C",7970,2023,"EVERSOURCE ENERGY",4931,55612.245,14329.461,-442.24,349.54,61.72,-0.00795220548999595,21573.6088,1.50554223916727,-0.00795220548999595,1.50554223916727
"A","USD","STD","INDL","C",7974,2023,"NISOURCE INC",4932,31077.2,8269.6,714.3,447.382,26.55,0.0229846961759747,11877.9921,1.43634421253749,0.0229846961759747,1.43634421253749
"A","USD","STD","INDL","C",7977,2023,"XCEL ENERGY INC",4931,64079,17616,1771,554.942,61.91,0.0276377596404438,34356.45922,1.95029854791099,0.0276377596404438,1.95029854791099
"A","USD","STD","INDL","C",7985,2023,"NORTHROP GRUMMAN CORP",3812,46544,14795,2056,150.109,468.14,0.0441732554142317,70272.02726,4.74971458330517,0.0441732554142317,4.74971458330517
"A","USD","STD","INDL","C",7991,2023,"TEREX CORP",3530,3615.5,1672.3,518,66.1,57.46,0.143272023233301,3798.106,2.27118698798063,0.143272023233301,2.27118698798063
"A","USD","STD","INDL","C",7993,2023,"NORTHWEST NATURAL HLDNG CO",4924,4867.092,1283.838,93.868,37.631,38.94,0.019286259639226,1465.35114,1.14138321190057,0.019286259639226,1.14138321190057
"A","USD","STD","INDL","C",8001,2023,"NORTHWESTERN ENRGY GROUP INC",4931,7600.652,2785.314,194.131,61.249,50.89,0.0255413614516228,3116.96161,1.11907009766224,0.0255413614516228,1.11907009766224
"A","USD","STD","INDL","C",8020,2023,"NOVO NORDISK A/S",2834,46639.066,15803.265,12410.4,4458.3,103.45,0.266094522561837,461211.135,29.1845473071546,0.263684370578134,29.1845473071546
"A","USD","STD","INDL","C",8030,2023,"NUCOR CORP",3312,35340.499,20940.634,4524.801,244.902,174.04,0.128034440034364,42622.74408,2.03540848285682,0.128034440034364,2.03540848285682
"A","USD","STD","INDL","C",8068,2023,"OCCIDENTAL PETROLEUM CORP",1311,74008,30250,4696,879.463,59.71,0.0634525997189493,52512.73573,1.73595820595041,0.0634525997189493,1.73595820595041
"A","USD","STD","INDL","C",8079,2023,"OCEANEERING INTERNATIONAL",1389,2239.006,628.02,97.403,100.804,21.28,0.0435027865043685,2145.10912,3.41567007420146,0.0435027865043685,3.41567007420146
"I","USD","STD","INDL","C",8087,2023,"ITERIS INC",3669,123.445,69.907,3.131,42.824,4.94,0.0253635222163717,211.55056,3.0261713419257,0.0253635222163717,3.0261713419257
"A","USD","STD","INDL","C",8092,2023,"BRISTOW GROUP INC",4522,1937.278,823.687,-6.78,28.31,28.27,-0.00349975584299207,800.3237,0.971635706281634,-0.00349975584299207,0.971635706281634
"A","USD","STD","INDL","C",8099,2023,"FIRSTENERGY CORP",4911,48767,10437,1102,574.335,36.66,0.0225972481391105,21055.1211,2.0173537510779,0.0225972481391105,2.0173537510779
"A","USD","STD","INDL","C",8105,2023,"OIL DRI CORP AMERICA",3290,286.235,177.076,29.551,7.136,62.77,0.103240344472199,447.92672,2.5295732905645,0.103240344472199,2.5295732905645
"A","USD","STD","INDL","C",8113,2023,"OGE ENERGY CORP",4931,12790.7,4511.6,416.8,200.3,34.93,0.0325861758934226,6996.479,1.55077555634365,0.0325861758934226,1.55077555634365
"A","USD","STD","INDL","C",8123,2023,"OLIN CORP",2810,7713.2,2232.4,460.2,120.2,53.95,0.0596639527044547,6484.79,2.90485128113241,0.0596639527044547,2.90485128113241
"A","USD","STD","INDL","C",8151,2023,"ONEOK INC",4923,44266,16484,2659,583.093,70.22,0.0600686757330683,40944.79046,2.48391109318127,0.0600686757330683,2.48391109318127
"A","USD","STD","INDL","C",8176,2023,"ORBIT INTERNATIONAL CORP",3812,26.396,18.513,-1.147,3.342,4.51,-0.0434535535687225,15.07242,0.814153297682709,-0.0434535535687225,0.814153297682709
"A","USD","STD","INDL","C",8199,2023,"OTTER TAIL CORP",4911,3242.568,1443.006,294.191,41.711,84.97,0.0907277811907106,3544.18367,2.4561115269098,0.0907277811907106,2.4561115269098
"I","USD","STD","INDL","C",8210,2023,"OVERSEAS SHIPHOLDING GROUP",4412,1078.884,354.053,62.454,70.946,5.27,0.0578875949592357,373.88542,1.05601539882447,0.0578875949592357,1.05601539882447
"A","USD","STD","INDL","C",8213,2023,"OWENS & MINOR INC",5047,5093.322,924.166,-41.301,76.546,19.27,-0.0081088531217936,1475.04142,1.59607843179688,-0.0081088531217936,1.59607843179688
"A","USD","STD","INDL","C",8214,2023,"OWENS CORNING",3290,11237,5166,1196,87.2,148.23,0.106434101628549,12925.656,2.50206271777003,0.106434101628549,2.50206271777003
"A","USD","STD","INDL","C",8215,2023,"O-I GLASS INC",3221,9669,1609,-103,154.254,16.38,-0.0106526010962871,2526.68052,1.57034215040398,-0.0106526010962871,1.57034215040398
"A","USD","STD","INDL","C",8219,2023,"OXFORD INDUSTRIES INC",2300,1097.844,560.914,60.703,15.629,94.93,0.0552929195769162,1483.66097,2.64507744502722,0.0552929195769162,2.64507744502722
"A","USD","STD","INDL","C",8247,2023,"PPG INDUSTRIES INC",2851,21647,7832,1270,235.211,149.55,0.0586686376865155,35175.80505,4.49129277962206,0.0586686376865155,4.49129277962206
"A","USD","STD","INDL","C",8253,2023,"PACCAR INC",3711,40823.4,15878.8,4600.8,523.3,97.65,0.112700069078029,51100.245,3.21814274378416,0.112700069078029,3.21814274378416
"A","USD","STD","INDL","C",8264,2023,"PG&E CORP",4931,125698,25292,2256,2133.598,18.03,0.0179477795987207,38468.77194,1.52098576387791,0.0179477795987207,1.52098576387791
"A","USD","STD","INDL","C",8272,2023,"SEMPRA ENERGY",4923,87181,28695,3075,631.432,74.73,0.0352714467601886,47186.91336,1.64442980867747,0.0352714467601886,1.64442980867747
"A","USD","STD","INDL","C",8334,2023,"PAR TECHNOLOGY CORP",7371,802.606,333.065,-69.752,28.03,43.54,-0.0869069007707393,1220.4262,3.66422830378455,-0.0869069007707393,3.66422830378455
"A","USD","STD","INDL","C",8348,2023,"PARK AEROSPACE CORP",3672,132.309,112.914,7.473,20.253,15.22,0.0564814184976079,308.25066,2.72995961528243,0.0564814184976079,2.72995961528243
"A","USD","STD","INDL","C",8350,2023,"PARK OHIO HOLDINGS CORP",5072,1340.7,280.4,7.8,13.071,26.96,0.00581785634370105,352.39416,1.25675520684736,0.00581785634370105,1.25675520684736
"A","USD","STD","INDL","C",8358,2023,"PARKER-HANNIFIN CORP",3490,29964.472,10326.888,2082.936,128.433,390.04,0.0695135225476358,50094.00732,4.85083282785676,0.0695135225476358,4.85083282785676
"A","USD","STD","INDL","C",8386,2023,"PATRICK INDUSTRIES INC",3714,2562.448,1045.337,142.897,22.161,100.35,0.0557658145648224,2223.85635,2.1274061379249,0.0557658145648224,2.1274061379249
"A","USD","STD","INDL","C",8402,2023,"PAYCHEX INC",8721,10383.1,3801,1690.4,360.1,120.16,0.162803016440177,43269.616,11.3837453301763,0.162803016440177,11.3837453301763
"A","USD","STD","INDL","C",8455,2023,"PPL CORP",4911,39236,13933,740,737.13,27.1,0.0188602304006525,19976.223,1.43373451517979,0.0188602304006525,1.43373451517979
"A","USD","STD","INDL","C",8463,2023,"PENTAIR PLC",3561,6563.3,3217.1,622.7,165.335,72.71,0.0948760532049426,12021.50785,3.73675292965714,0.0948760532049426,3.73675292965714
"A","USD","STD","INDL","C",8479,2023,"PEPSICO INC",2080,100495,18503,9074,1374,169.84,0.090293049405443,233360.16,12.6120175106739,0.090293049405443,12.6120175106739
"A","USD","STD","INDL","C",8486,2023,"TUTOR PERINI CORP",1600,4429.856,1291.588,-171.155,52.025,9.1,-0.0386366960912499,473.4275,0.366546840013998,-0.0386366960912499,0.366546840013998
"A","USD","STD","INDL","C",8530,2023,"PFIZER INC",2834,226501,89014,2119,5646,28.79,0.00935536708447203,162548.34,1.82609859123284,0.00935536708447203,1.82609859123284
"A","USD","STD","INDL","C",8539,2023,"EXELON CORP",4911,101546,25755,2328,999.417,35.9,0.0229255706773285,35879.0703,1.39309145020384,0.0229255706773285,1.39309145020384
"A","USD","STD","INDL","C",8542,2023,"ESSENTIAL UTILITIES INC",4941,16841.459,5896.183,498.226,273.296,37.35,0.02958330391684,10207.6056,1.73122265709867,0.02958330391684,1.73122265709867
"A","USD","STD","INDL","C",8544,2023,"PLDT INC",4812,11002.525,1899.307,480.414,216.056,23.43,0.0436639771325219,5062.19208,2.66528374823028,0.0436639771325219,2.66528374823028
"A","USD","STD","INDL","C",8546,2023,"KONINKLIJKE PHILIPS NV",3845,32503.786,13295.094,-515.09,906.403,23.33,-0.0158470770143515,21146.38199,1.59054023912881,-0.0158470770143515,1.59054023912881
"A","USD","STD","INDL","C",8549,2023,"CONOCOPHILLIPS",1311,95924,49279,10957,1178.102,116.07,0.11422584546099,136742.29914,2.7748594561578,0.11422584546099,2.7748594561578
"A","USD","STD","INDL","C",8551,2023,"PVH CORP",2300,11172.9,5118.9,663.6,57.633,120.26,0.0593937115699595,6930.94458,1.35399100978726,0.0593937115699595,1.35399100978726
"A","USD","STD","INDL","C",8582,2023,"SENECA FOODS CORP",2033,1383.997,582.893,63.318,7.06,56.9,0.0457500991692901,401.714,0.689172798438135,0.0457500991692901,0.689172798438135
"A","USD","STD","INDL","C",8599,2023,"AGILYSYS INC",7372,350.43,236.477,86.195,27.377,84.26,0.245969237793568,2306.78602,9.75480076286489,0.245969237793568,9.75480076286489
"A","USD","STD","INDL","C",8644,2023,"KINROSS GOLD CORP",1040,10543.3,6083.7,416.3,1227.838,6.05,0.0394847912892548,7428.4199,1.22103652382596,0.0394847912892548,1.22103652382596
"A","USD","STD","INDL","C",8661,2023,"PROFESSIONAL DIVERSITY NETWK",7361,6.327,3.048,-4.311,11.452,2.03,-0.681365576102418,23.24756,7.62715223097113,-0.681365576102418,7.62715223097113
"A","USD","STD","INDL","C",8699,2023,"POWELL INDUSTRIES INC",3613,752.242,345.026,54.525,11.862,82.9,0.0724833231858897,983.3598,2.8501034704631,0.0724833231858897,2.8501034704631
"A","USD","STD","INDL","C",8762,2023,"PROCTER & GAMBLE CO",2840,120829,46777,14653,2362.12,151.74,0.121270555909591,358428.0888,7.66248559762276,0.121270555909591,7.66248559762276
"A","USD","STD","INDL","C",8807,2023,"TXNM ENERGY INC",4911,10252.605,2360.622,88.346,90.2,41.6,0.00861693198947975,3752.32,1.58954716172263,0.00861693198947975,1.58954716172263
"A","USD","STD","INDL","C",8810,2023,"PUBLIC SERVICE ENTRP GRP INC",4931,50741,15477,2563,498,61.15,0.0505114207445655,30452.7,1.96761000193836,0.0505114207445655,1.96761000193836
"A","USD","STD","INDL","C",8823,2023,"PULTEGROUP INC",1531,16087.05,10383.257,2602.372,212.558,103.22,0.16176813026627,21940.23676,2.1130399411283,0.16176813026627,2.1130399411283
"A","USD","STD","INDL","C",8832,2023,"ARGAN INC",8711,598.229,290.939,32.358,13.243,44.33,0.0540896546305846,587.06219,2.01781882112745,0.0540896546305846,2.01781882112745
"A","USD","STD","INDL","C",8850,2023,"QUAKER HOUGHTON",2990,2714.211,1384.319,112.748,17.992,213.42,0.0415398802819678,3839.85264,2.77382065838871,0.0415398802819678,2.77382065838871
"A","USD","STD","INDL","C",8864,2023,"AMTECH SYSTEMS INC",3559,137.021,88.365,-12.582,14.186,7.62,-0.0918253406412156,108.09732,1.22330470208793,-0.0918253406412156,1.22330470208793
"A","USD","STD","INDL","C",8892,2023,"RCM TECHNOLOGIES INC",7363,120.484,25.79,16.831,7.845,29.04,0.139694897247767,227.8188,8.83360992632803,0.139694897247767,8.83360992632803
"A","USD","STD","INDL","C",8901,2023,"RPC INC",1389,1286.845,1022.513,195.113,215.026,7.28,0.151621213122015,1565.38928,1.5309235970594,0.151621213122015,1.5309235970594
"A","USD","STD","INDL","C",8902,2023,"RPM INTERNATIONAL INC",2890,6586.543,2510.884,588.397,128.629,112.1,0.0893332055981415,14419.3109,5.74272284183578,0.0893332055981415,5.74272284183578
"A","USD","STD","INDL","C",8947,2023,"U S LIME & MINERALS",1400,440.602,393.104,74.549,5.705,230.35,0.16919805175646,1314.14675,3.34300019842077,0.16919805175646,3.34300019842077
"A","USD","STD","INDL","C",9016,2023,"REGAL REXNORD CORP",3621,15431.4,6344.3,-57.4,66.3,148.02,-0.003719688427492,9813.726,1.54685717888498,-0.003719688427492,1.54685717888498
"A","USD","STD","INDL","C",9063,2023,"AUTONATION INC",5500,11980,2211.4,1021.1,41.645,150.18,0.0852337228714524,6254.2461,2.82818400108529,0.0852337228714524,2.82818400108529
"A","USD","STD","INDL","C",9125,2023,"RICHARDSON ELECTRONICS LTD",5065,192.445,157.952,0.061,14.303,11.19,0.000316973680791915,160.05057,1.0132861248987,0.000316973680791915,1.0132861248987
"A","USD","STD","INDL","C",9135,2023,"RICOH CO LTD",3577,15114.977,6867.479,292.068,603.182,8.864,0.0193230859696313,5346.605248,0.77853973022706,0.0193230859696313,0.77853973022706
"A","USD","STD","INDL","C",9154,2023,"RISK(GEORGE) INDUSTRIES INC",3669,60.78,54.637,7.558,4.897,12.5,0.124350115169464,61.2125,1.12034884785036,0.124350115169464,1.12034884785036
"A","USD","STD","INDL","C",9171,2023,"RGC RESOURCES INC",4924,303.729,100.732,11.299,10.015,17.3,0.0372009258253245,173.2595,1.72000456657269,0.0372009258253245,1.72000456657269
"A","USD","STD","INDL","C",9203,2023,"ROCKWELL AUTOMATION",3620,11304,3561.6,1387.4,114.8,285.87,0.122735314932767,32817.876,9.21436320754717,0.122735314932767,9.21436320754717
"A","USD","STD","INDL","C",9216,2023,"ROGERS CORP",3672,1517.2,1259,56.6,18.6,132.07,0.0373055628789876,2456.502,1.95115329626688,0.0373055628789876,1.95115329626688
"A","USD","STD","INDL","C",9225,2023,"ROLLINS INC",7340,2595.46,1155.567,434.957,484.08,43.67,0.167583780909742,21139.7736,18.2938536666416,0.167583780909742,18.2938536666416
"A","USD","STD","INDL","C",9248,2023,"ROSS STORES INC",5651,14300.109,4871.326,1874.52,335.172,140.28,0.131084315511161,47017.92816,9.65197733840848,0.131084315511161,9.65197733840848
"A","USD","STD","INDL","C",9299,2023,"RYDER SYSTEM INC",7510,15778,3069,406,43.902,115.06,0.0257320319432121,5051.36412,1.64593161290323,0.0257320319432121,1.64593161290323
"A","USD","STD","INDL","C",9323,2023,"PARAGON TECHNOLOGIES INC",5045,64.27,19.407,1.141,1.727,9,0.017753228566983,15.543,0.80089658370691,0.017753228566983,0.80089658370691
"A","USD","STD","INDL","C",9324,2023,"H2O AMERICA",4941,4345.067,1233.397,84.987,32.023,65.35,0.0195594222137426,2092.70305,1.69669867041999,0.0195594222137426,1.69669867041999
"A","USD","STD","INDL","C",9465,2023,"SLB LTD",1389,47957,20189,4203,1427.395,52.04,0.0876410117396835,74281.6358,3.67931228887018,0.0876410117396835,3.67931228887018
"A","USD","STD","INDL","C",9466,2023,"SCHOLASTIC CORP",2731,1671.2,1018.1,12.1,28.238,36.28,0.00724030636668262,1024.47464,1.00626131028386,0.00724030636668262,1.00626131028386
"A","USD","STD","INDL","C",9490,2023,"SCIENTIFIC INDUSTRIES INC",3826,16.731,13.885,-9.087,10.145,2.39,-0.543123543123543,24.24655,1.74624054735326,-0.543123543123543,1.74624054735326
"A","USD","STD","INDL","C",9538,2023,"SEABOARD CORP",9997,7566,4616,226,0.971,3570.1,0.0298704731694422,3466.5671,0.750989406412478,0.0298704731694422,0.750989406412478
"A","USD","STD","INDL","C",9551,2023,"DIGITAL TURBINE INC",7372,865.54,213.932,-420.228,102.119,2.62,-0.485509624049726,267.55178,1.25063936204027,-0.485509624049726,1.25063936204027
"A","USD","STD","INDL","C",9555,2023,"SEALED AIR CORP",3081,7200.6,549.5,341.6,144.468,36.52,0.0474404910701886,5275.97136,9.6014037488626,0.0474404910701886,9.6014037488626
"A","USD","STD","INDL","C",9611,2023,"SERVICE CORP INTERNATIONAL",7200,16355.4,1541.264,537.317,146.323,68.45,0.0328525746848136,10015.80935,6.49843852188853,0.0328525746848136,6.49843852188853
"I","USD","STD","INDL","C",9619,2023,"SERVOTRONICS INC",3621,36.587,24.494,-10.787,2.515,12.5,-0.294831497526444,31.4375,1.28347758634768,-0.294831497526444,1.28347758634768
"A","USD","STD","INDL","C",9664,2023,"SHENANDOAH TELECOMMUN CO",4813,1214.229,652.67,8.038,50.272,21.62,0.00661983859716742,1086.88064,1.66528358895001,0.00661983859716742,1.66528358895001
