"costat","curcd","datafmt","indfmt","consol","gvkey","fyear","conm","sic","at","seq","ni","csho","prcc_f","ROA","MarketCap","PB","ROA_w","PB_w"
"A","USD","STD","INDL","C",5109,2023,"GENESCO INC",5661,1329.89,571.202,-16.827,11.472,27.78,-0.0126529261818647,318.69216,0.557932500236344,-0.0126529261818647,0.557932500236344
"A","USD","STD","INDL","C",5116,2023,"GENTEX CORP",3714,2611.438,2312.517,428.403,231.455,32.66,0.164048696541905,7559.3203,3.2688712342439,0.164048696541905,3.2688712342439
"A","USD","STD","INDL","C",5125,2023,"GENUINE PARTS CO",5013,17968.454,4401.047,1316.524,139.567,138.5,0.0732686295660161,19330.0295,4.3921433922428,0.0732686295660161,4.3921433922428
"I","USD","STD","INDL","C",5179,2023,"GLATFELTER CORP",2621,1563.796,256.854,-79.053,45.087,1.94,-0.0505519901572839,87.46878,0.340538905370366,-0.0505519901572839,0.340538905370366
"A","USD","STD","INDL","C",5180,2023,"GSK PLC",2834,75160.569,17001.409,6277.286,2028.13,37.06,0.0835183405809501,75162.4978,4.42095698068319,0.0835183405809501,4.42095698068319
"A","USD","STD","INDL","C",5205,2023,"GOLD RESERVE LTD",1040,39.74,28.575,-23.119,99.549,2.77,-0.581756416708606,275.75073,9.65006929133858,-0.581756416708606,9.65006929133858
"A","USD","STD","INDL","C",5234,2023,"GOODYEAR TIRE & RUBBER CO",3011,21582,4668,-689,283.786,14.32,-0.0319247521082383,4063.81552,0.870568877463582,-0.0319247521082383,0.870568877463582
"A","USD","STD","INDL","C",5237,2023,"GORMAN-RUPP CO",3561,890.358,349.459,34.951,26.194,35.53,0.0392549963048571,930.67282,2.66318171802701,0.0392549963048571,2.66318171802701
"A","USD","STD","INDL","C",5252,2023,"GRACO INC",3561,2722.007,2224.225,506.511,167.946,86.76,0.186079977016958,14570.99496,6.55104360395194,0.186079977016958,6.55104360395194
"A","USD","STD","INDL","C",5254,2023,"GRAHAM CORP",3443,233.879,105.566,4.556,10.85,27.28,0.0194801585435204,295.988,2.80381941155296,0.0194801585435204,2.80381941155296
"A","USD","STD","INDL","C",5256,2023,"GRAINGER (W W) INC",5000,8147,3115,1829,49.317,828.69,0.224499815883147,40868.50473,13.1199052102729,0.224499815883147,13.1199052102729
"A","USD","STD","INDL","C",5284,2023,"GRAY MEDIA INC",4833,10640,2621,-76,95.389,8.96,-0.00714285714285714,854.68544,0.326091354444868,-0.00714285714285714,0.326091354444868
